projectid	sampleid	r1	r2
RU40932	SQ6061	/locus/data/analysis_results/1910000/1912692/AT2916555_BCL2FASTQ-RU40932/output/SQ6061_L001_R1_001.fastq.gz	/locus/data/analysis_results/1910000/1912692/AT2916555_BCL2FASTQ-RU40932/output/SQ6061_L001_R2_001.fastq.gz
RU40932	SQ6062	/locus/data/analysis_results/1910000/1912692/AT2916555_BCL2FASTQ-RU40932/output/SQ6062_L001_R1_001.fastq.gz	/locus/data/analysis_results/1910000/1912692/AT2916555_BCL2FAS3Q-RU40932/output/SQ6062_L001_R2_001.fastq.gz
RU40932	SQ6063	/locus/data/analysis_results/1910000/1912692/AT2916555_BCL2FASTQ-RU40932/output/SQ6063_L001_R1_001.fastq.gz	/locus/data/analysis_results/1910000/1912692/AT2916555_BCL2FASTQ-RU40932/output/SQ6063_L001_R2_001.fastq.gz
RU40932	SQ6064	/locus/data/analysis_results/1910000/1912692/AT2916555_BCL2FASTQ-RU40932/output/SQ6064_L001_R1_001.fastq.gz	/locus/data/analysis_results/1910000/1912692/AT2916555_BCL2FASTQ-RU40932/output/SQ6064_L001_R2_001.fastq.gz
RU40932	SQ6065	/locus/data/analysis_results/1910000/1912692/AT2916555_BCL2FASTQ-RU40932/output/SQ6065_L001_R1_001.fastq.gz	/locus/data/analysis_results/1910000/1912692/AT2916555_BCL2FASTQ-RU40932/output/SQ6065_L001_R2_001.fastq.gz
RU40932	SQ6066	/locus/data/analysis_results/1910000/1912692/AT2916555_BCL2FASTQ-RU40932/output/SQ6066_L001_R1_001.fastq.gz	/locus/data/analysis_results/1910000/1912692/AT2916555_BCL2FASTQ-RU40932/output/SQ6066_L001_R2_001.fastq.gz
RU40932	SQ6067	/locus/data/analysis_results/1910000/1912692/AT2916555_BCL2FASTQ-RU40932/output/SQ6067_L001_R1_001.fastq.gz	/locus/data/analysis_results/1910000/1912692/AT2916555_BCL2FASTQ-RU40932/output/SQ6067_L001_R2_001.fastq.gz
RU40932	SQ6068	/locus/data/analysis_results/1910000/1912692/AT2916555_BCL2FASTQ-RU40932/output/SQ6068_L001_R1_001.fastq.gz	/locus/data/analysis_results/1910000/1912692/AT2916555_BCL2FASTQ-RU40932/output/SQ6068_L001_R2_001.fastq.gz
RU40932	SQ6069	/locus/data/analysis_results/1910000/1912692/AT2916555_BCL2FASTQ-RU40932/output/SQ6069_L001_R1_001.fastq.gz	/locus/data/analysis_results/1910000/1912692/AT2916555_BCL2FASTQ-RU40932/output/SQ6069_L001_R2_001.fastq.gz
RU40932	SQ6070	/locus/data/analysis_results/1910000/1912692/AT2916555_BCL2FASTQ-RU40932/output/SQ6070_L001_R1_001.fastq.gz	/locus/data/analysis_results/1910000/1912692/AT2916555_BCL2FASTQ-RU40932/output/SQ6070_L001_R2_001.fastq.gz
RU40932	SQ6071	/locus/data/analysis_results/1910000/1912692/AT2916555_BCL2FASTQ-RU40932/output/SQ6071_L001_R1_001.fastq.gz	/locus/data/analysis_results/1910000/1912692/AT2916555_BCL2FASTQ-RU40932/output/SQ6071_L001_R2_001.fastq.gz
RU40932	SQ6072	/locus/data/analysis_results/1910000/1912692/AT2916555_BCL2FASTQ-RU40932/output/SQ6072_L001_R1_001.fastq.gz	/locus/data/analysis_results/1910000/1912692/AT2916555_BCL2FASTQ-RU40932/output/SQ6072_L001_R2_001.fastq.gz
RU40932	SQ6073	/locus/data/analysis_results/1910000/1912692/AT2916555_BCL2FASTQ-RU40932/output/SQ6073_L001_R1_001.fastq.gz	/locus/data/analysis_results/1910000/1912692/AT2916555_BCL2FASTQ-RU40932/output/SQ6073_L001_R2_001.fastq.gz
RU40932	SQ6074	/locus/data/analysis_results/1910000/1912692/AT2916555_BCL2FASTQ-RU40932/output/SQ6074_L001_R1_001.fastq.gz	/locus/data/analysis_results/1910000/1912692/AT2916555_BCL2FASTQ-RU40932/output/SQ6074_L001_R2_001.fastq.gz
RU40932	SQ6075	/locus/data/analysis_results/1910000/1912692/AT2916555_BCL2FASTQ-RU40932/output/SQ6075_L001_R1_001.fastq.gz	/locus/data/analysis_results/1910000/1912692/AT2916555_BCL2FASTQ-RU40932/output/SQ6075_L001_R2_001.fastq.gz
RU40932	SQ6076	/locus/data/analysis_results/1910000/1912692/AT2916555_BCL2FASTQ-RU40932/output/SQ6076_L001_R1_001.fastq.gz	/locus/data/analysis_results/1910000/1912692/AT2916555_BCL2FASTQ-RU40932/output/SQ6076_L001_R2_001.fastq.gz
RU40932	SQ6077	/locus/data/analysis_results/1910000/1912692/AT2916555_BCL2FASTQ-RU40932/output/SQ6077_L001_R1_001.fastq.gz	/locus/data/analysis_results/1910000/1912692/AT2916555_BCL2FASTQ-RU40932/output/SQ6077_L001_R2_001.fastq.gz
RU40932	SQ6078	/locus/data/analysis_results/1910000/1912692/AT2916555_BCL2FASTQ-RU40932/output/SQ6078_L001_R1_001.fastq.gz	/locus/data/analysis_results/1910000/1912692/AT2916555_BCL2FASTQ-RU40932/output/SQ6078_L001_R2_001.fastq.gz
